day,avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust
1,"-5,2","-2,7","-10,9","5,7",sl,sn24,4,"0,2","3,2","8,3","13,6"
2,"1,3","3,0","−6,9","4,1",sl,25,4,"0,0","4,2","7,9","8,8"
3,"−2,4","2,1","−4,0","5,6",,23,4,"0,0","2,4","4,9","4,8"
4,"−5,9","−1,0","−7,0","0,0",,22,4,"3,3","1,2","2,9","5,1"
5,"−7,8","−5,7","−9,9","0,0",,21,4,"3,3","1,6","4,0","11,1"
6,"−4,5","−0,9","−10,4","0,0",,22,4,"0,0","2,0","5,7","9,5"
7,"−1,9","−0,3","−5,4","0,0",sn,21,4,"0,0","1,8","5,2","16,4"
8,"1,3","3,0","−2,9","0,3",sl,21,4,"0,0","6,3","9,4","17,8"
9,"−0,6","1,8","−1,6","0,1",,21,4,"2,4","6,3","10,4","10,9"
10,"1,4","3,5","−3,9","0,0",,21,4,"0,0","2,8","6,2","6,1"
11,"−2,3","4,0","−3,5","0,0",,21,4,"4,3","2,0","4,6","9,4"
12,"−1,3","0,4","−5,1","0,0",,21,4,"4,2","3,4","5,7","9,4"
13,"−2,5","0,5","−3,8","0,0",,20,4,"2,8","3,7","5,9","5,7"
14,"−7,0","−2,6","−9,3","0,0",,20,4,"4,6","1,9","3,5","8,9"
15,"−10,1","−7,5","−11,3","0,0",,20,4,"4,7","2,5","4,5","10,1"
16,"−6,5","−2,7","−12,2","0,0",,20,4,"4,7","1,9","6,4","10,6"
17,"−4,3","−0,8","−6,4","0,0",,21,4,"4,5","2,0","6,2","5,6"
18,"−10,2","−5,7","−12,1","0,0",,21,4,"5,0","1,4","4,2","15,2"
19,"−5,7","−4,2","−12,3","0,0",sl,20,2,"1,4","3,4","8,2","21,5"
20,"4,7","6,8","−4,5","5,9",ri,0,2,"0,0","7,9","12,9","14,1"
21,"2,0","6,8","0,5","15,9",sl,0,2,"0,0","3,7","8,4","26,8"
22,"−0,9","2,6","−5,0","2,8",sn,0,2,"0,0","10,4","17,4","14,7"
23,"−1,7","1,0","−5,0","0,4",,0,2,"0,0","3,5","8,9","14,4"
24,"3,9","5,9","−1,8","0,0",ri,0,0,"0,3","4,6","9,6","16,2"
25,"1,3","3,7","−1,2","0,9",ri,0,0,"0,7","4,3","9,6","21,4"
26,"5,7","7,9","1,6","4,4",sl,0,4,"0,0","7,9","13,1","22,2"
27,"1,8","5,4","−1,0","5,8",sl,1,0,"0,1","8,7","13,6","15,8"
28,"3,3","6,6","0,8","6,1",sl,0,2,"0,0","5,2","9,3","12,2"
29,"−0,1","3,8","−0,6","9,4",sn,0,4,"0,3","2,9","6,5","23,8"
30,"−1,6","0,5","−5,2","0,1",,3,4,"0,0","7,0","13,3","22,0"
