Ár;Mannfjöldi á orkuveitusvæði hitaveitu;Orkusala hita (millj. m3);Notkun heits vatns á íbúa  (m3/íbúa);Heitavatnsmælar (fjöldi)
1999;160862;56;348;
2000;164106;60.6;369;37299
2001;166917;62;371;43221
2002;176976;64.2;363;43893
2003;179085;60;335;44401
2004;184141;65.6;356;45209
2005;190145;71.5;376;47170
2006;193849;74;382;49761
2007;197404;79.7;404;52082
2008;202871;77;416;53316
2009;201960;73.8;365;53783
2010;203206;72.3;356;54435
2011;206916;75;362;54732
2012;206348;75.5;366;55031
2013;208531;78.1;375;55292
2014;211066;75;355;55558
2015;213402;82.7;388;55788
